algoritmo,tipo_instancia,n,repeticao,tempo_s,pico_memoria_bytes,estados,existe,estourou_timeout
backtracking,alvo_grande,15,0,2.2667001758236438e-05,3182,73,True,False
backtracking,alvo_grande,15,1,3.141699926345609e-05,3182,120,True,False
backtracking,alvo_grande,15,2,3.7874997360631824e-05,3182,218,True,False
backtracking,alvo_grande,15,3,2.837499778252095e-05,3182,123,True,False
backtracking,alvo_grande,15,4,2.5167002604575828e-05,3214,103,True,False
meet_in_middle,alvo_grande,15,0,7.137499778764322e-05,40440,608,True,False
meet_in_middle,alvo_grande,15,1,7.425000148941763e-05,40440,639,True,False
meet_in_middle,alvo_grande,15,2,6.516699795611203e-05,40440,511,True,False
meet_in_middle,alvo_grande,15,3,7.545799962827004e-05,40440,640,True,False
meet_in_middle,alvo_grande,15,4,8.041600085562095e-05,40440,640,True,False
backtracking,alvo_grande,20,0,4.579099913826212e-05,3766,297,True,False
backtracking,alvo_grande,20,1,9.541700273985043e-05,3798,769,True,False
backtracking,alvo_grande,20,2,0.00014508399908663705,3798,1226,True,False
backtracking,alvo_grande,20,3,7.283399827429093e-05,3798,545,True,False
backtracking,alvo_grande,20,4,0.00028958300026715733,3798,2594,True,False
meet_in_middle,alvo_grande,20,0,0.001434791000065161,278024,2816,True,False
meet_in_middle,alvo_grande,20,1,0.0014644590009993408,277912,3069,True,False
meet_in_middle,alvo_grande,20,2,0.0014730000002600718,278040,3070,True,False
meet_in_middle,alvo_grande,20,3,0.0014476670003205072,277896,2912,True,False
meet_in_middle,alvo_grande,20,4,0.0015413330002047587,277864,3068,True,False
backtracking,alvo_grande,25,0,0.004715917002613423,4238,42803,True,False
backtracking,alvo_grande,25,1,0.00017095799921662547,4270,1466,True,False
backtracking,alvo_grande,25,2,0.003372958999534603,4238,30092,True,False
backtracking,alvo_grande,25,3,0.001939625002705725,4270,18217,True,False
backtracking,alvo_grande,25,4,0.006563708000612678,4238,61102,True,False
meet_in_middle,alvo_grande,25,0,0.0032897919991228264,1722824,19824,True,False
meet_in_middle,alvo_grande,25,1,0.0034838339997804724,1722280,19904,True,False
meet_in_middle,alvo_grande,25,2,0.0032420829993498046,1722808,17919,True,False
meet_in_middle,alvo_grande,25,3,0.003143417001410853,1722344,18367,True,False
meet_in_middle,alvo_grande,25,4,0.0034599589998833835,1722776,20431,True,False
backtracking,alvo_grande,30,0,0.001354250001895707,4726,12627,True,False
backtracking,alvo_grande,30,1,0.0004988330001651775,4726,4596,True,False
backtracking,alvo_grande,30,2,0.002874792000511661,4758,27084,True,False
backtracking,alvo_grande,30,3,0.0023379999984172173,4758,21987,True,False
backtracking,alvo_grande,30,4,0.00254612499702489,4470,23309,True,False
meet_in_middle,alvo_grande,30,0,0.014118708997557405,9435544,98304,True,False
meet_in_middle,alvo_grande,30,1,0.013984708999487339,9436632,98288,True,False
meet_in_middle,alvo_grande,30,2,0.01324308299808763,9435960,94207,True,False
meet_in_middle,alvo_grande,30,3,0.01323683300142875,9436120,94160,True,False
meet_in_middle,alvo_grande,30,4,0.011788457999500679,9437192,80454,True,False
backtracking,alvo_grande,35,0,0.016904291998798726,5230,159293,True,False
backtracking,alvo_grande,35,1,0.01857391699741129,5134,170946,True,False
backtracking,alvo_grande,35,2,0.00647324999954435,4974,59917,True,False
backtracking,alvo_grande,35,3,0.017871374999231193,5102,162526,True,False
backtracking,alvo_grande,35,4,0.010375124998972751,5230,98341,True,False
meet_in_middle,alvo_grande,35,0,0.07372250000116765,55781776,522488,True,False
meet_in_middle,alvo_grande,35,1,0.07429454200246255,55781776,524288,True,False
meet_in_middle,alvo_grande,35,2,0.059499125000002095,55780896,436832,True,False
meet_in_middle,alvo_grande,35,3,0.06175775000156136,55781520,449504,True,False
meet_in_middle,alvo_grande,35,4,0.07290120800098521,55780976,520192,True,False
backtracking,alvo_grande,40,0,0.13617995800086646,5462,1300798,True,False
backtracking,alvo_grande,40,1,0.09790345799774514,5558,936415,True,False
backtracking,alvo_grande,40,2,0.0725519580009859,5430,694404,True,False
backtracking,alvo_grande,40,3,0.033425417001126334,5622,322443,True,False
backtracking,alvo_grande,40,4,0.1480504999999539,5462,1415254,True,False
meet_in_middle,alvo_grande,40,0,0.5062814999982947,303751760,2193892,True,False
meet_in_middle,alvo_grande,40,1,0.5727934999995341,303751632,2539450,True,False
meet_in_middle,alvo_grande,40,2,0.47136641700126347,303751920,2289112,True,False
meet_in_middle,alvo_grande,40,3,0.6231920419995731,303740864,3039228,True,False
meet_in_middle,alvo_grande,40,4,0.5311589160010044,303750736,2324479,True,False
backtracking,alvo_grande,45,0,0.02648395799769787,6030,245792,True,False
backtracking,alvo_grande,45,1,0.000748416998249013,5742,7020,True,False
backtracking,alvo_grande,45,2,0.21868904200164252,5966,2074431,True,False
backtracking,alvo_grande,45,3,0.06555541600027937,5774,637186,True,False
backtracking,alvo_grande,45,4,0.031520915999863064,5998,300672,True,False
meet_in_middle,alvo_grande,45,0,2.633594541999628,1780319792,13238208,True,False
meet_in_middle,alvo_grande,45,1,2.653649375002715,1780316864,12615358,True,False
meet_in_middle,alvo_grande,45,2,2.9447062499966705,1780319792,14122976,True,False
meet_in_middle,alvo_grande,45,3,2.754088583998964,1780318928,12631552,True,False
meet_in_middle,alvo_grande,45,4,2.986524208001356,1780313824,13432798,True,False
backtracking,alvo_grande,50,0,0.01799162499810336,6390,166715,True,False
backtracking,alvo_grande,50,1,0.040276625000842614,6422,375817,True,False
backtracking,alvo_grande,50,2,0.017250000000785803,6454,151335,True,False
backtracking,alvo_grande,50,3,0.026490750002267305,6422,243365,True,False
backtracking,alvo_grande,50,4,0.1622295409979415,6582,1517562,True,False
meet_in_middle,alvo_grande,50,0,24.15328949999821,,67584000,True,False
meet_in_middle,alvo_grande,50,1,22.284634625000763,,68972016,True,False
meet_in_middle,alvo_grande,50,2,21.483643624997057,,69042176,True,False
meet_in_middle,alvo_grande,50,3,21.985891666998214,,68548256,True,False
meet_in_middle,alvo_grande,50,4,23.47665295800107,,74309120,True,False
